ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,ACCT_AGE,HIGH_RISK
5058521,1,0,1,0,4,Commercial associate,Secondary / secondary special,Married,With parents,-14585,-3400,1,1,1,0,2.0,-55.0,0
5062211,1,0,1,0,2,Commercial associate,Higher education,Married,House / apartment,-17472,-1202,1,1,1,0,2.0,-12.0,0
5021462,1,1,0,1,3,Working,Higher education,Civil marriage,House / apartment,-11501,-735,1,0,0,0,3.0,-14.0,0
5132564,1,0,1,1,2,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14934,-1350,1,0,1,0,3.0,-16.0,0
5053466,0,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-18516,-2129,1,1,1,0,2.0,-40.0,0
5010892,1,0,1,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-23758,365243,1,0,0,1,2.0,-18.0,0
5116999,1,0,1,0,2,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21591,365243,1,0,0,1,2.0,-28.0,0
5089674,1,1,0,2,1,Working,Secondary / secondary special,Married,House / apartment,-13135,-3657,1,1,1,0,4.0,-15.0,0
5112881,1,0,1,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-21902,365243,1,0,0,1,2.0,-2.0,0
5095637,1,0,0,0,2,Commercial associate,Higher education,Single / not married,Rented apartment,-9351,-370,1,1,0,1,1.0,-26.0,0
5024635,1,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-19922,-1128,1,0,0,0,2.0,-29.0,0
5095562,1,0,0,1,4,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,1,0,0,2.0,-60.0,0
5067699,0,1,1,0,4,Working,Higher education,Married,House / apartment,-19087,-4434,1,0,1,0,2.0,-11.0,0
5148828,1,0,1,1,3,Working,Secondary / secondary special,Married,House / apartment,-14357,-3120,1,1,1,0,3.0,-56.0,0
5139950,1,1,1,0,2,State servant,Secondary / secondary special,Married,House / apartment,-19988,-3231,1,1,0,0,2.0,-36.0,0
5113403,0,1,1,0,4,Commercial associate,Higher education,Single / not married,House / apartment,-10837,-588,1,0,0,1,1.0,-8.0,0
5048554,0,1,1,1,4,Working,Higher education,Married,House / apartment,-10530,-2165,1,0,0,0,3.0,-25.0,0
5105011,0,1,1,1,3,Working,Secondary / secondary special,Married,Rented apartment,-17051,-1457,1,0,0,0,3.0,-42.0,0
5100222,1,0,1,0,2,Commercial associate,Higher education,Married,House / apartment,-17673,-6579,1,0,0,0,2.0,-35.0,0
5135710,1,0,1,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22611,365243,1,0,1,0,1.0,-51.0,0
5053922,0,0,0,1,3,Working,Lower secondary,Civil marriage,House / apartment,-14454,-1064,1,1,1,0,3.0,-30.0,0
5041212,1,0,1,0,2,Working,Higher education,Widow,House / apartment,-23035,-2134,1,0,0,0,1.0,-8.0,0
5135450,1,0,1,1,3,Working,Secondary / secondary special,Married,With parents,-10035,-170,1,0,0,0,3.0,-2.0,0
5136908,0,0,0,1,3,Working,Secondary / secondary special,Married,House / apartment,-15244,-2908,1,1,0,1,3.0,-14.0,0
5091529,1,0,1,1,3,Working,Higher education,Married,House / apartment,-12442,-2330,1,0,0,0,3.0,-9.0,0
5088193,1,1,0,0,1,Pensioner,Higher education,Widow,House / apartment,-24210,365243,1,0,0,0,1.0,-49.0,0
5148866,1,0,1,0,2,Pensioner,Higher education,Married,House / apartment,-21892,365243,1,0,0,0,2.0,-9.0,0
5125917,1,0,0,0,2,Working,Higher education,Married,House / apartment,-11615,-2936,1,0,0,0,2.0,-22.0,0
5089856,1,0,1,0,3,Pensioner,Secondary / secondary special,Separated,House / apartment,-23545,365243,1,0,0,0,1.0,-24.0,0
5053891,1,0,1,0,1,State servant,Secondary / secondary special,Separated,House / apartment,-14271,-302,1,0,0,0,1.0,0.0,0
5112601,1,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-22466,-12870,1,1,1,0,2.0,-17.0,0
5021309,0,0,1,0,3,Working,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,2.0,-3.0,0
5028875,0,0,0,3,2,Working,Secondary / secondary special,Civil marriage,With parents,-12072,-1422,1,0,0,1,5.0,-45.0,0
5114508,0,0,0,2,2,Working,Secondary / secondary special,Married,House / apartment,-9930,-2324,1,0,0,1,4.0,-31.0,0
5090289,1,1,1,1,3,Pensioner,Secondary / secondary special,Married,House / apartment,-20420,365243,1,0,1,0,3.0,-30.0,0
5140070,1,0,1,0,4,Commercial associate,Higher education,Married,House / apartment,-16502,-1040,1,0,0,0,2.0,-11.0,0
5033549,0,1,0,2,2,Working,Secondary / secondary special,Married,House / apartment,-12912,-1844,1,0,0,0,4.0,-25.0,0
5090617,0,1,1,2,2,Working,Secondary / secondary special,Married,House / apartment,-15202,-674,1,0,0,0,4.0,-6.0,0
5033693,1,1,1,0,2,Working,Secondary / secondary special,Single / not married,House / apartment,-19251,-1449,1,0,0,0,1.0,-9.0,0
5062548,1,0,1,3,3,Commercial associate,Incomplete higher,Married,House / apartment,-12099,-2207,1,0,0,1,5.0,-42.0,0
5115397,0,0,1,2,2,Working,Secondary / secondary special,Married,House / apartment,-17005,-3267,1,0,0,0,4.0,-13.0,0
5023928,1,0,1,0,2,Commercial associate,Higher education,Married,Rented apartment,-11937,-1889,1,0,0,0,2.0,-35.0,0
5126840,1,0,0,0,2,Commercial associate,Higher education,Single / not married,Rented apartment,-11785,-1415,1,0,0,0,1.0,-22.0,0
5106041,0,1,0,2,3,Working,Secondary / secondary special,Married,House / apartment,-15207,-3201,1,0,0,0,4.0,-17.0,0
5021208,0,1,1,1,3,Working,Secondary / secondary special,Married,House / apartment,-13621,-1127,1,0,0,0,3.0,-26.0,0
5142501,0,0,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-14865,-925,1,0,0,0,2.0,-20.0,0
5148651,1,1,1,1,3,Commercial associate,Secondary / secondary special,Married,House / apartment,-15346,-2481,1,0,0,0,3.0,-28.0,0
5024887,1,0,0,1,2,Working,Secondary / secondary special,Single / not married,House / apartment,-9950,-427,1,0,0,0,2.0,-48.0,0
5022952,0,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-18293,-521,1,1,0,0,2.0,-32.0,0
5008959,1,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,2.0,-15.0,0
5091931,0,0,1,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-21720,365243,1,0,1,0,2.0,-3.0,0
5146086,0,0,0,0,2,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14122,-1193,1,0,0,1,1.0,-18.0,0
5079024,1,0,1,0,2,Pensioner,Lower secondary,Married,House / apartment,-22569,365243,1,0,0,0,2.0,-20.0,0
5062585,0,0,0,1,2,Working,Secondary / secondary special,Married,House / apartment,-10054,-571,1,1,1,1,3.0,-18.0,0
5143487,0,0,1,1,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-11935,-1200,1,0,0,0,3.0,-43.0,0
5025188,0,1,1,0,2,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14284,-2192,1,0,0,0,1.0,-44.0,0
5035739,1,1,1,0,2,State servant,Higher education,Separated,House / apartment,-17138,-8072,1,1,1,0,1.0,-29.0,0
5023623,1,0,0,2,2,Commercial associate,Incomplete higher,Married,House / apartment,-13803,-3249,1,0,1,0,4.0,-14.0,0
5022797,1,1,1,0,3,Working,Higher education,Widow,House / apartment,-11998,-1497,1,0,0,0,1.0,-48.0,0
5097051,1,1,1,0,1,Working,Secondary / secondary special,Married,House / apartment,-13170,-763,1,1,0,0,2.0,-16.0,0
5068682,0,0,1,0,2,Working,Secondary / secondary special,Single / not married,House / apartment,-11819,-962,1,0,0,0,1.0,-1.0,0
5023988,0,0,1,0,3,Commercial associate,Higher education,Married,House / apartment,-21135,-2862,1,0,0,0,2.0,-42.0,0
5091957,1,0,1,0,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-15491,-504,1,0,0,0,2.0,-17.0,0
5079007,0,0,1,0,3,Commercial associate,Higher education,Married,Municipal apartment,-20845,-847,1,0,0,0,2.0,-4.0,0
5089557,1,1,0,0,2,Working,Incomplete higher,Single / not married,House / apartment,-11406,-3078,1,1,0,0,1.0,-53.0,0
5036722,1,0,1,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,-24521,365243,1,0,0,0,2.0,-46.0,0
5010868,0,1,1,1,4,Pensioner,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,3.0,-16.0,1
5025253,0,0,1,0,2,Pensioner,Higher education,Married,House / apartment,-23321,365243,1,0,0,0,2.0,-41.0,0
5089235,1,0,0,0,3,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,1,0,1,1,1.0,-37.0,0
5065675,1,0,0,0,2,Working,Secondary / secondary special,Single / not married,House / apartment,-11512,-4711,1,0,0,0,1.0,-5.0,0
5105967,1,1,0,1,3,Commercial associate,Higher education,Civil marriage,With parents,-9932,-668,1,0,1,1,3.0,-53.0,0
5126370,1,0,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-13566,-1900,1,1,0,0,2.0,-24.0,0
5061237,1,0,1,0,2,Pensioner,Higher education,Married,House / apartment,-21881,365243,1,0,0,0,2.0,-49.0,0
5100214,0,1,1,0,2,Commercial associate,Higher education,Married,House / apartment,-14543,-2105,1,0,0,0,2.0,-37.0,0
5090632,1,1,1,0,3,Commercial associate,Incomplete higher,Married,House / apartment,-12207,-1898,1,0,0,1,2.0,-21.0,0
5089658,1,0,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16378,-370,1,1,0,0,1.0,-41.0,0
5028945,0,0,1,0,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-15111,-5866,1,0,0,0,2.0,-8.0,0
5021681,0,0,1,0,3,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18745,-3653,1,0,0,0,1.0,-41.0,0
5053383,0,1,1,2,3,Working,Incomplete higher,Married,House / apartment,-13102,-962,1,0,0,0,4.0,-24.0,0
5033853,1,0,1,0,1,Working,Secondary / secondary special,Married,House / apartment,-17829,-110,1,0,0,0,2.0,-24.0,0
5116039,1,1,1,0,3,Commercial associate,Higher education,Married,House / apartment,-16263,-314,1,0,1,0,2.0,-14.0,0
5149162,0,1,1,0,3,Working,Secondary / secondary special,Married,House / apartment,-10952,-3577,1,1,0,0,2.0,-56.0,0
5132777,0,0,1,2,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-12418,-226,1,1,1,0,4.0,-33.0,0
5117695,1,0,0,0,3,State servant,Secondary / secondary special,Separated,House / apartment,-22662,-4206,1,0,0,0,1.0,-60.0,0
5092031,1,0,1,2,3,Working,Secondary / secondary special,Separated,House / apartment,-14877,-5099,1,0,0,0,3.0,-6.0,0
5037116,0,1,0,2,3,Commercial associate,Higher education,Married,House / apartment,-12566,-3384,1,0,1,0,4.0,-23.0,0
5117417,1,1,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-16215,-3567,1,0,0,0,2.0,-10.0,0
5023705,1,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-17733,-5622,1,0,1,0,2.0,-52.0,0
5045588,1,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-14966,-170,1,0,0,0,2.0,-41.0,0
5114481,1,0,1,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22731,365243,1,0,0,0,1.0,-38.0,0
5029512,1,0,0,0,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-18061,-869,1,0,0,0,2.0,-16.0,0
5050735,1,0,0,0,2,Commercial associate,Higher education,Separated,House / apartment,-11712,-4822,1,0,1,1,1.0,-49.0,0
5096397,1,0,0,0,2,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-14174,-1405,1,1,0,0,2.0,-3.0,0
5022955,0,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-18293,-521,1,1,0,0,2.0,-11.0,0
5137173,1,0,0,0,3,Working,Secondary / secondary special,Married,House / apartment,-20142,-3760,1,1,1,0,2.0,-25.0,0
5118275,1,0,0,0,2,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363,365243,1,0,0,0,2.0,-56.0,1
5099747,1,0,1,1,2,Working,Secondary / secondary special,Married,House / apartment,-10112,-3170,1,1,1,0,3.0,-10.0,0
5118125,0,1,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-11044,-2531,1,0,0,0,2.0,-24.0,0
5126259,1,0,0,2,1,Commercial associate,Secondary / secondary special,Married,House / apartment,-12417,-2265,1,1,0,0,4.0,-44.0,0
5010243,0,1,1,0,3,Working,Secondary / secondary special,Married,House / apartment,-20145,-1043,1,0,0,0,2.0,-33.0,0
5099977,1,0,0,0,2,Working,Secondary / secondary special,Civil marriage,House / apartment,-10218,-1740,1,0,1,0,2.0,-6.0,0
5023642,0,1,0,2,3,Working,Secondary / secondary special,Married,House / apartment,-14776,-2212,1,0,0,0,4.0,-9.0,1
5028385,0,1,0,0,3,Working,Secondary / secondary special,Single / not married,With parents,-11344,-3309,1,0,0,0,1.0,-51.0,0
5029151,1,0,0,0,1,Working,Secondary / secondary special,Married,House / apartment,-17825,-8410,1,1,1,0,2.0,-39.0,0
5010599,1,0,1,2,1,Working,Higher education,Married,House / apartment,-11864,-4513,1,0,0,0,4.0,-6.0,0
5149697,1,0,0,0,2,Working,Incomplete higher,Married,With parents,-13943,-6407,1,0,0,0,2.0,-30.0,0
5135783,1,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-23844,-2147,1,0,1,0,2.0,-60.0,0
5145888,1,0,1,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,-22179,365243,1,0,0,0,2.0,-29.0,0
5045539,0,1,0,2,3,State servant,Higher education,Married,With parents,-10937,-1539,1,0,0,0,4.0,-49.0,0
5042016,0,1,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-10376,-126,1,0,1,0,2.0,-13.0,0
5029789,1,0,1,0,2,State servant,Secondary / secondary special,Married,House / apartment,-21215,-808,1,0,0,0,2.0,-54.0,0
5046003,1,0,1,1,3,Working,Secondary / secondary special,Single / not married,House / apartment,-15039,-3334,1,0,1,0,2.0,-16.0,0
5125487,0,1,0,1,2,Working,Higher education,Married,House / apartment,-12782,-1078,1,0,0,0,3.0,-46.0,0
5066888,0,1,1,2,1,Working,Secondary / secondary special,Married,House / apartment,-14274,-3079,1,0,0,0,4.0,-7.0,0
5061531,1,0,1,1,3,Working,Secondary / secondary special,Married,House / apartment,-14152,-4673,1,0,0,0,3.0,-25.0,0
5021522,1,0,0,0,3,Working,Higher education,Married,House / apartment,-19271,-4839,1,0,0,1,2.0,-53.0,0
5105814,1,0,0,0,3,Pensioner,Secondary / secondary special,Married,House / apartment,-20116,365243,1,0,1,0,2.0,-9.0,0
5054041,1,0,0,1,1,Working,Secondary / secondary special,Married,House / apartment,-14290,-1308,1,0,1,0,3.0,-60.0,0
5096185,1,0,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-14715,-2654,1,1,0,0,2.0,-17.0,0
5044621,1,1,0,1,2,Commercial associate,Higher education,Single / not married,House / apartment,-10130,-1651,1,0,0,0,2.0,-37.0,0
5137533,0,0,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-14854,-3518,1,1,0,0,2.0,-29.0,0
5089753,0,0,0,1,1,Working,Secondary / secondary special,Single / not married,House / apartment,-17876,-5239,1,0,0,0,2.0,-1.0,0
5090707,1,1,1,0,3,Working,Higher education,Single / not married,House / apartment,-12151,-186,1,0,0,1,1.0,-18.0,0
5137454,0,0,0,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-18629,365243,1,0,0,0,2.0,-45.0,0
5091369,0,1,1,0,3,Working,Secondary / secondary special,Married,House / apartment,-15366,-1266,1,1,1,0,2.0,-38.0,0
5149450,0,1,1,0,3,Working,Higher education,Married,With parents,-12187,-2602,1,0,0,0,2.0,-4.0,0
5062697,1,0,1,1,2,Working,Secondary / secondary special,Married,House / apartment,-14510,-3805,1,0,0,0,3.0,-29.0,0
5091244,1,1,0,0,2,Working,Secondary / secondary special,Married,House / apartment,-16279,-1478,1,0,0,0,2.0,-42.0,0
5024692,0,0,1,0,2,Working,Secondary / secondary special,Married,With parents,-15562,-7824,1,0,1,0,2.0,-53.0,0
5029665,1,0,0,0,1,Working,Secondary / secondary special,Married,House / apartment,-18401,-2149,1,0,0,0,2.0,-36.0,0
5038794,1,0,1,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-22742,365243,1,0,0,0,2.0,-8.0,0
5036408,1,1,1,0,2,Working,Secondary / secondary special,Civil marriage,House / apartment,-13686,-1256,1,0,0,0,2.0,-2.0,0
5089005,1,1,0,0,1,Working,Secondary / secondary special,Married,House / apartment,-19657,-2774,1,0,1,0,2.0,-18.0,0
5050766,1,0,0,2,3,Working,Secondary / secondary special,Married,House / apartment,-10990,-2174,1,0,0,0,4.0,-8.0,0
5099764,1,0,1,1,2,Working,Secondary / secondary special,Married,House / apartment,-10112,-3170,1,1,1,0,3.0,-16.0,0
5126286,0,0,0,0,3,Working,Secondary / secondary special,Married,House / apartment,-21149,-11884,1,1,0,0,2.0,-35.0,0
5041854,0,1,0,0,2,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21990,365243,1,0,1,0,2.0,-36.0,0
5023040,1,0,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,-20950,365243,1,0,0,0,1.0,-15.0,0
5116382,1,0,1,1,2,Working,Higher education,Married,House / apartment,-9287,-1432,1,1,0,0,3.0,-26.0,0
5045724,0,0,0,1,3,Commercial associate,Higher education,Separated,House / apartment,-10776,-1174,1,0,0,0,2.0,-40.0,0
5041259,1,0,1,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-23015,365243,1,0,0,0,2.0,-15.0,0
5067803,1,0,1,0,2,Commercial associate,Higher education,Single / not married,House / apartment,-19392,-121,1,0,1,0,1.0,-14.0,0
5149336,1,1,1,0,3,Commercial associate,Higher education,Single / not married,House / apartment,-16930,-8995,1,0,0,0,1.0,-27.0,0
5021873,0,1,0,0,2,Working,Secondary / secondary special,Single / not married,Rented apartment,-9545,-156,1,0,0,0,1.0,-1.0,0
5143378,0,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-18543,-1353,1,0,0,0,2.0,-11.0,0
5088240,1,0,1,0,3,Pensioner,Secondary / secondary special,Widow,House / apartment,-21894,365243,1,0,0,0,1.0,-15.0,0
5025141,1,0,1,1,3,Working,Higher education,Single / not married,House / apartment,-13728,-1250,1,0,1,0,2.0,-46.0,0
5069031,1,0,1,0,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-16605,-1359,1,0,0,1,2.0,-55.0,0
5045903,1,0,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-8541,-565,1,0,0,0,1.0,-19.0,0
5009716,0,0,0,0,2,Working,Secondary / secondary special,Single / not married,House / apartment,-9380,-1713,1,1,1,0,1.0,-16.0,0
5009281,1,0,0,0,2,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,1,0,1,0,2.0,-39.0,0
5036793,1,0,1,0,3,Pensioner,Secondary / secondary special,Married,House / apartment,-23533,365243,1,0,0,0,2.0,-33.0,0
5126385,0,1,0,0,2,Working,Higher education,Married,House / apartment,-10472,-2996,1,1,0,1,2.0,-38.0,0
5065732,1,1,1,0,2,Pensioner,Higher education,Married,House / apartment,-21508,365243,1,0,0,0,2.0,-21.0,0
5095226,0,1,1,2,2,Working,Secondary / secondary special,Married,House / apartment,-16032,-1221,1,0,0,0,4.0,-9.0,0
5009709,1,0,0,0,2,Working,Higher education,Married,House / apartment,-11644,-344,1,0,0,0,2.0,-11.0,0
5100153,1,1,0,0,2,Working,Secondary / secondary special,Widow,House / apartment,-14407,-1345,1,0,0,0,1.0,-17.0,0
5009481,1,0,0,0,2,Commercial associate,Higher education,Married,House / apartment,-13241,-4451,1,0,1,0,2.0,-12.0,0
5113673,1,0,1,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-19276,365243,1,0,0,0,2.0,-15.0,0
5022292,1,0,0,1,2,Working,Secondary / secondary special,Civil marriage,House / apartment,-15100,-3500,1,0,0,0,3.0,-12.0,0
5132580,1,0,1,0,2,Working,Secondary / secondary special,Widow,House / apartment,-17432,-2417,1,1,1,0,1.0,-33.0,0
5067868,1,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-18705,-5345,1,0,0,0,2.0,-9.0,0
5046043,1,0,1,0,2,State servant,Higher education,Married,House / apartment,-17801,-8479,1,0,0,0,2.0,-20.0,0
5114215,0,1,0,2,3,Working,Secondary / secondary special,Married,House / apartment,-14136,-2628,1,1,0,0,4.0,-28.0,0
5044536,1,0,1,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-24348,365243,1,0,1,0,2.0,-7.0,0
